rn,Date,name,category,hazards,tier,band
26-287,2026-02-24,Christmas-themed Magnetic Chess Games,Toys,chemical|magnet,2,ACT NOW
26-277,2026-02-19,SAMIT Youth Multi-Purpose Helmets,Helmets & wheeled toys,crash,3,ACT NOW
26-276,2026-02-19,Prismatic 3D Prints Book Nooks with Lights,Toys,battery|burn,2,ACT NOW
26-275,2026-02-19,"Meijer one-piece footed 12-, 18-and 24-month children's sleepwear",Sleepwear & apparel,burn|flammable,3,ACT NOW
26-274,2026-02-19,JJGoo LED Balloon Lights,Toys,battery|burn,2,ACT NOW
26-272,2026-02-19,Huaker Magnetic Balls and Rods Sets,Toys,choking|magnet,2,ACT NOW
26-271,2026-02-19,Vive Health Bed Rails,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
26-267,2026-02-12,Beloems Adult Portable Bed Rails,"Gates, rails & childproofing",entrapment|fall|laceration|suffocation,1,ACT NOW
26-266,2026-02-12,CheerKid Baby Bath Seats,Feeding & high chairs,drowning|tipover,1,ACT NOW
26-265,2026-02-12,Colombia-themed Magnetic Board Games,Toys,chemical|magnet,2,ACT NOW
26-263,2026-02-12,Fortemotus Adult Portable Bed Rails,"Gates, rails & childproofing",entrapment|fall|laceration|suffocation,1,ACT NOW
26-261,2026-02-12,SOOWERY 6-Drawer Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-257,2026-02-05,Andy & Evan Children's Pajama Sets,Sleepwear & apparel,burn|flammable,3,ACT NOW
26-255,2026-02-05,EnHomee 10-Drawer Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-254,2026-02-05,Cobelae Busy Book for Toddlers,Toys,choking,3,ACT NOW
26-252,2026-02-05,Scepter Gas and Oil Combination Fuel Containers,Household chemicals,burn|chemical|fire,3,ACT NOW
26-251,2026-02-05,"Yitahome, Uforic, Dextrus, Yintatech and ModFusion-branded Dressers",Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-249,2026-02-05,Dresbe LED Christmas Headbands,Button cells & batteries,battery|burn,2,ACT NOW
26-248,2026-02-05,Fixwal 7-Drawer Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-247,2026-02-05,Furnulem 5-Drawer Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-246,2026-02-05,Kitosun Submersible LED Lights,Button cells & batteries,battery|burn,2,ACT NOW
26-243,2026-02-05,GM Gumili Wintergreen Essential Oil Bottles,Feeding & high chairs,chemical,4,ACT SOON
26-242,2026-02-05,Organic Zing Birch Oil Bottles,Feeding & high chairs,chemical,4,ACT SOON
26-240,2026-02-05,Lola + The Boys Youth Clothing with Drawstrings,Sleepwear & apparel,entanglement|strangulation,1,ACT NOW
26-239,2026-02-05,Semfri Children's Helmets,Helmets & wheeled toys,crash|labeling,3,ACT NOW
26-238,2026-02-05,Shintenchi 6-Drawer Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-229,2026-02-05,Lotus Joy Organic Sweet Birch Essential Oil Bottles,Feeding & high chairs,chemical,4,ACT SOON
26-236,2026-01-29,Urban Arrow FamilyNext Pro Cargo E-Bikes,Helmets & wheeled toys,,4,ACT SOON
26-234,2026-01-29,Bazic Silicone Glue,Feeding & high chairs,chemical|flammable|labeling,3,ACT NOW
26-231,2026-01-29,Viofairy Hair Growth Serum,Feeding & high chairs,chemical,4,ACT SOON
26-230,2026-01-29,Primark The Nightmare Before Christmas Glow-in-the-Dark Coloring Set,Jewelry & accessories,chemical,4,ACT SOON
26-227,2026-01-29,Sunneday and Blue Bay brand 48-inch and taller above-ground pools,Bath & water safety,drowning,1,ACT NOW
26-226,2026-01-29,"Giraffe Plush Toy with clip, Llama Plush Toy with clip",Toys,choking,3,ACT NOW
26-222,2026-01-29,LuxJet Submersible LED Lights,Button cells & batteries,battery|burn,2,ACT NOW
26-221,2026-01-29,Ultimate Multivitamin+ Dietary Supplement Bottles,Feeding & high chairs,chemical,4,ACT SOON
26-219,2026-01-29,AiTuiTui Pull String Teething Toys,Toys,choking,3,ACT NOW
26-218,2026-01-29,Sefudun Hair Growth Serum Kits,Personal care & medicine,chemical,4,ACT SOON
26-215,2026-01-22,Mikario Trading 5-in-1 Convertible Baby Gyms,"Sleep — cribs, bassinets, loungers",suffocation,1,ACT NOW
26-210,2026-01-22,Iristar Minoxidil Spray Bottles,Feeding & high chairs,chemical,4,ACT SOON
26-209,2026-01-22,Cumbor Retractable Safety Gates,"Gates, rails & childproofing",entrapment,1,ACT NOW
26-208,2026-01-22,Vndueey Magnetic Men Toy Sets,Toys,chemical|magnet,2,ACT NOW
26-207,2026-01-22,Based Online Fidget Magnet Ball Toys,Toys,chemical|magnet,2,ACT NOW
26-205,2026-01-22,Gagaku Wooden Ice Cream Shop Toy Playsets,Outdoor & play equipment,chemical|magnet,2,ACT NOW
26-204,2026-01-22,Yetonamr Pull String Teething Toys,Toys,choking,3,ACT NOW
26-198,2026-01-15,"RootStim Beard Growth Serum, 5% Minoxidil",Feeding & high chairs,chemical,4,ACT SOON
26-195,2026-01-15,Self-Feeding Pillows,Feeding & high chairs,choking|suffocation,1,ACT NOW
26-193,2026-01-15,Asher Pajama Sets,Sleepwear & apparel,burn|flammable,3,ACT NOW
26-191,2026-01-15,KEAWIS Crib Mattress,"Sleep — cribs, bassinets, loungers",entrapment|suffocation,1,ACT NOW
26-185,2026-01-15,BBWOO Baby Loungers,"Sleep — cribs, bassinets, loungers",entrapment|fall,1,ACT NOW
26-182,2026-01-15,Ruahouine Hair Growth Serum Bottles,Feeding & high chairs,chemical,4,ACT SOON
26-181,2026-01-08,Joyful Journeys Baby Loungers,"Sleep — cribs, bassinets, loungers",entrapment|fall,1,ACT NOW
26-178,2026-01-08,Kori Gey Water Elf Toy Kits,Toys,battery|burn,2,ACT NOW
26-176,2026-01-08,Lterfear Multifunction Pounding Game,Toys,chemical|magnet,2,ACT NOW
26-175,2026-01-08,YOLAAH Portable Bed Rails,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
26-174,2026-01-08,Vasicar 18-Drawer Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-173,2026-01-08,Sangohe Bed Rails,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
26-172,2026-01-08,Rattan 6-Drawer Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-171,2026-01-08,NFSVLB Baby Bath Seats (blue),Bath & water safety,drowning|entrapment|tipover,1,ACT NOW
26-170,2026-01-08,Julie and Judah pajama pants and shorts,Sleepwear & apparel,burn|flammable,3,ACT NOW
26-169,2026-01-08,SARO Braided Crib Bumpers,"Sleep — cribs, bassinets, loungers",suffocation,1,ACT NOW
26-168,2026-01-08,BabyBond Retractable Safety Gates,"Gates, rails & childproofing",entrapment,1,ACT NOW
26-165,2026-01-08,Agrish Adult Portable Bed Rails,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
26-164,2025-12-18,Meaicezli Play Purse Sets,Toys,battery|burn,2,ACT NOW
26-160,2025-12-18,JOKOSIS Portable Bed Rails,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
26-163,2025-12-18,Blue Wave brand 48-inch and taller above-ground pools,Bath & water safety,drowning,1,ACT NOW
26-162,2025-12-18,SereneLife brand 48-inch and taller above-ground pools,Bath & water safety,drowning,1,ACT NOW
26-159,2025-12-18,KKL Fabric 9-Drawer Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
